FromTime,ToTime,AverageSpeed,NumberOfVehicle,Date,day_name
23:55:00,00:00:00,22.54,8,2023-02-01,Wednesday
00:00:00,00:05:00,24.27,4,2023-02-01,Wednesday
00:05:00,00:10:00,26.61,7,2023-02-01,Wednesday
00:10:00,00:15:00,34.52,8,2023-02-01,Wednesday
00:15:00,00:20:00,28.41,4,2023-02-01,Wednesday
00:20:00,00:25:00,40.3,3,2023-02-01,Wednesday
00:25:00,00:30:00,36.26,2,2023-02-01,Wednesday
00:30:00,00:35:00,19.1,8,2023-02-01,Wednesday
00:35:00,00:40:00,23.6,8,2023-02-01,Wednesday
00:40:00,00:45:00,19.95,5,2023-02-01,Wednesday
00:45:00,00:50:00,23.32,5,2023-02-01,Wednesday
00:50:00,00:55:00,37.27,5,2023-02-01,Wednesday
01:00:00,01:05:00,14.78,6,2023-02-01,Wednesday
01:05:00,01:10:00,32.52,5,2023-02-01,Wednesday
01:10:00,01:15:00,33.21,5,2023-02-01,Wednesday
01:15:00,01:20:00,25.25,1,2023-02-01,Wednesday
01:20:00,01:25:00,22.34,3,2023-02-01,Wednesday
01:25:00,01:30:00,18.97,10,2023-02-01,Wednesday
01:30:00,01:35:00,39.94,8,2023-02-01,Wednesday
01:35:00,01:40:00,19.0,4,2023-02-01,Wednesday
01:40:00,01:45:00,21.09,2,2023-02-01,Wednesday
01:45:00,01:50:00,41.27,1,2023-02-01,Wednesday
01:50:00,01:55:00,16.75,1,2023-02-01,Wednesday
01:55:00,02:00:00,29.66,3,2023-02-01,Wednesday
02:00:00,02:05:00,30.68,3,2023-02-01,Wednesday
02:05:00,02:10:00,24.08,5,2023-02-01,Wednesday
02:10:00,02:15:00,21.09,3,2023-02-01,Wednesday
02:15:00,02:20:00,34.35,2,2023-02-01,Wednesday
02:20:00,02:25:00,21.97,6,2023-02-01,Wednesday
02:25:00,02:30:00,30.46,2,2023-02-01,Wednesday
02:30:00,02:35:00,23.15,6,2023-02-01,Wednesday
02:35:00,02:40:00,21.92,3,2023-02-01,Wednesday
02:40:00,02:45:00,15.45,4,2023-02-01,Wednesday
02:45:00,02:50:00,32.18,3,2023-02-01,Wednesday
02:50:00,02:55:00,19.13,4,2023-02-01,Wednesday
03:05:00,03:10:00,32.8,5,2023-02-01,Wednesday
03:10:00,03:15:00,29.45,2,2023-02-01,Wednesday
03:15:00,03:20:00,26.03,1,2023-02-01,Wednesday
03:20:00,03:25:00,31.83,6,2023-02-01,Wednesday
03:25:00,03:30:00,31.34,3,2023-02-01,Wednesday
03:30:00,03:35:00,33.16,3,2023-02-01,Wednesday
03:35:00,03:40:00,35.87,5,2023-02-01,Wednesday
03:40:00,03:45:00,34.96,4,2023-02-01,Wednesday
03:50:00,03:55:00,31.02,2,2023-02-01,Wednesday
03:55:00,04:00:00,12.27,3,2023-02-01,Wednesday
04:00:00,04:05:00,15.39,5,2023-02-01,Wednesday
04:05:00,04:10:00,16.77,3,2023-02-01,Wednesday
04:10:00,04:15:00,21.01,4,2023-02-01,Wednesday
04:20:00,04:25:00,33.94,3,2023-02-01,Wednesday
04:25:00,04:30:00,27.29,1,2023-02-01,Wednesday
04:30:00,04:35:00,22.7,3,2023-02-01,Wednesday
04:40:00,04:45:00,26.65,4,2023-02-01,Wednesday
04:45:00,04:50:00,13.27,2,2023-02-01,Wednesday
04:50:00,04:55:00,26.43,4,2023-02-01,Wednesday
04:55:00,05:00:00,23.42,6,2023-02-01,Wednesday
05:00:00,05:05:00,30.78,6,2023-02-01,Wednesday
05:05:00,05:10:00,20.03,2,2023-02-01,Wednesday
05:10:00,05:15:00,25.4,5,2023-02-01,Wednesday
05:15:00,05:20:00,28.46,11,2023-02-01,Wednesday
05:20:00,05:25:00,27.72,7,2023-02-01,Wednesday
05:25:00,05:30:00,27.24,11,2023-02-01,Wednesday
05:30:00,05:35:00,33.37,7,2023-02-01,Wednesday
05:35:00,05:40:00,29.74,4,2023-02-01,Wednesday
05:40:00,05:45:00,23.34,12,2023-02-01,Wednesday
05:45:00,05:50:00,21.11,9,2023-02-01,Wednesday
05:50:00,05:55:00,15.26,5,2023-02-01,Wednesday
05:55:00,06:00:00,16.27,5,2023-02-01,Wednesday
06:00:00,06:05:00,20.22,12,2023-02-01,Wednesday
06:05:00,06:10:00,19.87,12,2023-02-01,Wednesday
06:10:00,06:15:00,15.14,16,2023-02-01,Wednesday
06:15:00,06:20:00,17.8,12,2023-02-01,Wednesday
06:20:00,06:25:00,14.08,14,2023-02-01,Wednesday
06:25:00,06:30:00,21.51,13,2023-02-01,Wednesday
06:30:00,06:35:00,16.87,16,2023-02-01,Wednesday
06:35:00,06:40:00,19.93,29,2023-02-01,Wednesday
06:40:00,06:45:00,23.51,14,2023-02-01,Wednesday
06:45:00,06:50:00,15.82,10,2023-02-01,Wednesday
06:50:00,06:55:00,13.06,20,2023-02-01,Wednesday
06:55:00,07:00:00,22.55,16,2023-02-01,Wednesday
07:00:00,07:05:00,19.97,20,2023-02-01,Wednesday
07:05:00,07:10:00,8.81,12,2023-02-01,Wednesday
07:10:00,07:15:00,6.48,21,2023-02-01,Wednesday
07:15:00,07:20:00,13.9,17,2023-02-01,Wednesday
07:20:00,07:25:00,9.37,17,2023-02-01,Wednesday
07:25:00,07:30:00,7.31,20,2023-02-01,Wednesday
07:30:00,07:35:00,10.74,13,2023-02-01,Wednesday
07:35:00,07:40:00,7.82,17,2023-02-01,Wednesday
07:40:00,07:45:00,9.89,9,2023-02-01,Wednesday
07:45:00,07:50:00,7.84,14,2023-02-01,Wednesday
07:50:00,07:55:00,9.39,9,2023-02-01,Wednesday
07:55:00,08:00:00,9.88,13,2023-02-01,Wednesday
08:00:00,08:05:00,5.89,12,2023-02-01,Wednesday
08:05:00,08:10:00,10.99,8,2023-02-01,Wednesday
08:10:00,08:15:00,6.3,14,2023-02-01,Wednesday
08:15:00,08:20:00,10.9,11,2023-02-01,Wednesday
08:20:00,08:25:00,9.26,16,2023-02-01,Wednesday
08:25:00,08:30:00,11.27,10,2023-02-01,Wednesday
08:30:00,08:35:00,12.71,9,2023-02-01,Wednesday
08:35:00,08:40:00,15.21,7,2023-02-01,Wednesday
08:40:00,08:45:00,10.57,5,2023-02-01,Wednesday
08:45:00,08:50:00,5.97,8,2023-02-01,Wednesday
08:50:00,08:55:00,5.1,16,2023-02-01,Wednesday
08:55:00,09:00:00,7.09,16,2023-02-01,Wednesday
09:00:00,09:05:00,8.13,14,2023-02-01,Wednesday
09:05:00,09:10:00,10.91,7,2023-02-01,Wednesday
09:10:00,09:15:00,9.61,19,2023-02-01,Wednesday
09:15:00,09:20:00,16.5,10,2023-02-01,Wednesday
09:20:00,09:25:00,15.45,2,2023-02-01,Wednesday
09:25:00,09:30:00,11.69,8,2023-02-01,Wednesday
09:30:00,09:35:00,10.85,14,2023-02-01,Wednesday
09:35:00,09:40:00,9.68,15,2023-02-01,Wednesday
09:40:00,09:45:00,14.74,7,2023-02-01,Wednesday
09:45:00,09:50:00,11.34,14,2023-02-01,Wednesday
09:50:00,09:55:00,11.52,11,2023-02-01,Wednesday
09:55:00,10:00:00,11.22,17,2023-02-01,Wednesday
10:00:00,10:05:00,11.26,6,2023-02-01,Wednesday
10:05:00,10:10:00,12.41,10,2023-02-01,Wednesday
10:10:00,10:15:00,10.54,12,2023-02-01,Wednesday
10:15:00,10:20:00,9.34,19,2023-02-01,Wednesday
10:20:00,10:25:00,9.47,5,2023-02-01,Wednesday
10:25:00,10:30:00,10.87,15,2023-02-01,Wednesday
10:30:00,10:35:00,6.02,8,2023-02-01,Wednesday
10:35:00,10:40:00,11.37,7,2023-02-01,Wednesday
10:40:00,10:45:00,11.32,12,2023-02-01,Wednesday
10:45:00,10:50:00,8.77,9,2023-02-01,Wednesday
10:50:00,10:55:00,14.1,19,2023-02-01,Wednesday
10:55:00,11:00:00,11.45,9,2023-02-01,Wednesday
11:00:00,11:05:00,9.69,23,2023-02-01,Wednesday
11:05:00,11:10:00,19.38,15,2023-02-01,Wednesday
11:10:00,11:15:00,16.03,5,2023-02-01,Wednesday
11:15:00,11:20:00,20.82,8,2023-02-01,Wednesday
11:20:00,11:25:00,8.05,6,2023-02-01,Wednesday
11:25:00,11:30:00,11.75,17,2023-02-01,Wednesday
11:30:00,11:35:00,12.1,12,2023-02-01,Wednesday
11:35:00,11:40:00,8.11,16,2023-02-01,Wednesday
11:40:00,11:45:00,9.28,9,2023-02-01,Wednesday
11:45:00,11:50:00,6.22,13,2023-02-01,Wednesday
11:50:00,11:55:00,7.11,13,2023-02-01,Wednesday
11:55:00,12:00:00,5.6,14,2023-02-01,Wednesday
12:00:00,12:05:00,5.56,10,2023-02-01,Wednesday
12:05:00,12:10:00,3.85,8,2023-02-01,Wednesday
12:10:00,12:15:00,4.5,22,2023-02-01,Wednesday
12:15:00,12:20:00,10.66,20,2023-02-01,Wednesday
12:20:00,12:25:00,12.63,7,2023-02-01,Wednesday
12:25:00,12:30:00,11.08,3,2023-02-01,Wednesday
12:30:00,12:35:00,6.92,11,2023-02-01,Wednesday
12:35:00,12:40:00,6.51,6,2023-02-01,Wednesday
12:40:00,12:45:00,7.16,13,2023-02-01,Wednesday
12:45:00,12:50:00,11.29,7,2023-02-01,Wednesday
12:50:00,12:55:00,8.1,20,2023-02-01,Wednesday
12:55:00,13:00:00,9.75,8,2023-02-01,Wednesday
13:00:00,13:05:00,10.08,11,2023-02-01,Wednesday
13:05:00,13:10:00,7.27,12,2023-02-01,Wednesday
13:10:00,13:15:00,4.21,10,2023-02-01,Wednesday
13:15:00,13:20:00,5.81,26,2023-02-01,Wednesday
13:20:00,13:25:00,8.36,15,2023-02-01,Wednesday
13:25:00,13:30:00,7.49,17,2023-02-01,Wednesday
13:30:00,13:35:00,7.23,11,2023-02-01,Wednesday
13:35:00,13:40:00,4.62,12,2023-02-01,Wednesday
13:40:00,13:45:00,5.0,7,2023-02-01,Wednesday
13:45:00,13:50:00,5.11,7,2023-02-01,Wednesday
13:50:00,13:55:00,6.14,12,2023-02-01,Wednesday
13:55:00,14:00:00,4.58,11,2023-02-01,Wednesday
14:00:00,14:05:00,4.72,21,2023-02-01,Wednesday
14:05:00,14:10:00,12.33,12,2023-02-01,Wednesday
14:10:00,14:15:00,4.45,5,2023-02-01,Wednesday
14:15:00,14:20:00,10.17,8,2023-02-01,Wednesday
14:20:00,14:25:00,16.05,17,2023-02-01,Wednesday
14:25:00,14:30:00,4.87,7,2023-02-01,Wednesday
14:30:00,14:35:00,11.52,13,2023-02-01,Wednesday
14:35:00,14:40:00,9.9,18,2023-02-01,Wednesday
14:40:00,14:45:00,11.9,14,2023-02-01,Wednesday
14:45:00,14:50:00,13.9,15,2023-02-01,Wednesday
14:50:00,14:55:00,8.37,6,2023-02-01,Wednesday
14:55:00,15:00:00,14.34,15,2023-02-01,Wednesday
15:00:00,15:05:00,10.67,9,2023-02-01,Wednesday
15:05:00,15:10:00,5.45,13,2023-02-01,Wednesday
15:10:00,15:15:00,7.12,20,2023-02-01,Wednesday
15:15:00,15:20:00,9.05,14,2023-02-01,Wednesday
15:20:00,15:25:00,4.99,5,2023-02-01,Wednesday
15:25:00,15:30:00,4.06,10,2023-02-01,Wednesday
15:30:00,15:35:00,3.99,7,2023-02-01,Wednesday
15:35:00,15:40:00,6.68,17,2023-02-01,Wednesday
15:40:00,15:45:00,6.74,6,2023-02-01,Wednesday
15:45:00,15:50:00,4.45,9,2023-02-01,Wednesday
15:50:00,15:55:00,6.39,15,2023-02-01,Wednesday
15:55:00,16:00:00,12.07,22,2023-02-01,Wednesday
16:00:00,16:05:00,16.97,17,2023-02-01,Wednesday
16:05:00,16:10:00,13.53,9,2023-02-01,Wednesday
16:10:00,16:15:00,11.52,10,2023-02-01,Wednesday
16:15:00,16:20:00,19.8,15,2023-02-01,Wednesday
16:20:00,16:25:00,9.03,15,2023-02-01,Wednesday
16:25:00,16:30:00,12.43,9,2023-02-01,Wednesday
16:30:00,16:35:00,13.51,14,2023-02-01,Wednesday
16:35:00,16:40:00,18.58,14,2023-02-01,Wednesday
16:40:00,16:45:00,14.85,16,2023-02-01,Wednesday
16:45:00,16:50:00,11.32,10,2023-02-01,Wednesday
16:50:00,16:55:00,10.62,17,2023-02-01,Wednesday
16:55:00,17:00:00,6.81,12,2023-02-01,Wednesday
17:00:00,17:05:00,9.03,27,2023-02-01,Wednesday
17:05:00,17:10:00,8.71,16,2023-02-01,Wednesday
17:10:00,17:15:00,11.07,8,2023-02-01,Wednesday
17:15:00,17:20:00,10.88,22,2023-02-01,Wednesday
17:20:00,17:25:00,8.54,18,2023-02-01,Wednesday
17:25:00,17:30:00,7.0,11,2023-02-01,Wednesday
17:30:00,17:35:00,7.85,17,2023-02-01,Wednesday
17:35:00,17:40:00,5.24,9,2023-02-01,Wednesday
17:40:00,17:45:00,11.52,8,2023-02-01,Wednesday
17:45:00,17:50:00,6.26,15,2023-02-01,Wednesday
17:50:00,17:55:00,7.49,16,2023-02-01,Wednesday
17:55:00,18:00:00,9.92,18,2023-02-01,Wednesday
18:00:00,18:05:00,8.56,11,2023-02-01,Wednesday
18:05:00,18:10:00,7.15,11,2023-02-01,Wednesday
18:10:00,18:15:00,11.02,18,2023-02-01,Wednesday
18:15:00,18:20:00,9.23,17,2023-02-01,Wednesday
18:20:00,18:25:00,8.97,17,2023-02-01,Wednesday
18:25:00,18:30:00,5.57,12,2023-02-01,Wednesday
18:30:00,18:35:00,15.5,12,2023-02-01,Wednesday
18:35:00,18:40:00,4.83,8,2023-02-01,Wednesday
18:40:00,18:45:00,13.22,16,2023-02-01,Wednesday
18:45:00,18:50:00,9.44,18,2023-02-01,Wednesday
18:50:00,18:55:00,8.44,20,2023-02-01,Wednesday
18:55:00,19:00:00,15.79,8,2023-02-01,Wednesday
19:00:00,19:05:00,18.55,11,2023-02-01,Wednesday
19:05:00,19:10:00,13.54,15,2023-02-01,Wednesday
19:10:00,19:15:00,9.45,7,2023-02-01,Wednesday
19:15:00,19:20:00,11.71,14,2023-02-01,Wednesday
19:20:00,19:25:00,10.38,21,2023-02-01,Wednesday
19:25:00,19:30:00,11.77,7,2023-02-01,Wednesday
19:30:00,19:35:00,13.79,13,2023-02-01,Wednesday
19:35:00,19:40:00,16.05,9,2023-02-01,Wednesday
19:40:00,19:45:00,14.26,9,2023-02-01,Wednesday
19:45:00,19:50:00,4.18,6,2023-02-01,Wednesday
19:50:00,19:55:00,12.94,13,2023-02-01,Wednesday
19:55:00,20:00:00,9.2,16,2023-02-01,Wednesday
20:00:00,20:05:00,8.93,4,2023-02-01,Wednesday
20:05:00,20:10:00,5.46,3,2023-02-01,Wednesday
20:10:00,20:15:00,4.94,9,2023-02-01,Wednesday
20:15:00,20:20:00,4.96,9,2023-02-01,Wednesday
20:20:00,20:25:00,7.19,20,2023-02-01,Wednesday
20:25:00,20:30:00,5.0,18,2023-02-01,Wednesday
20:30:00,20:35:00,6.7,9,2023-02-01,Wednesday
20:35:00,20:40:00,7.32,20,2023-02-01,Wednesday
20:40:00,20:45:00,16.24,21,2023-02-01,Wednesday
20:45:00,20:50:00,18.25,7,2023-02-01,Wednesday
20:50:00,20:55:00,13.68,14,2023-02-01,Wednesday
20:55:00,21:00:00,12.13,11,2023-02-01,Wednesday
21:00:00,21:05:00,14.36,9,2023-02-01,Wednesday
21:05:00,21:10:00,12.02,12,2023-02-01,Wednesday
21:10:00,21:15:00,17.47,13,2023-02-01,Wednesday
21:15:00,21:20:00,11.11,17,2023-02-01,Wednesday
21:20:00,21:25:00,13.46,16,2023-02-01,Wednesday
21:25:00,21:30:00,23.59,10,2023-02-01,Wednesday
21:30:00,21:35:00,10.53,11,2023-02-01,Wednesday
21:35:00,21:40:00,27.95,11,2023-02-01,Wednesday
21:40:00,21:45:00,18.71,17,2023-02-01,Wednesday
21:45:00,21:50:00,1.94,6,2023-02-01,Wednesday
21:50:00,21:55:00,13.03,8,2023-02-01,Wednesday
21:55:00,22:00:00,31.23,12,2023-02-01,Wednesday
22:00:00,22:05:00,21.23,5,2023-02-01,Wednesday
22:05:00,22:10:00,17.81,14,2023-02-01,Wednesday
22:10:00,22:15:00,17.82,12,2023-02-01,Wednesday
22:15:00,22:20:00,20.23,20,2023-02-01,Wednesday
22:20:00,22:25:00,20.52,13,2023-02-01,Wednesday
22:25:00,22:30:00,19.44,12,2023-02-01,Wednesday
22:30:00,22:35:00,18.4,10,2023-02-01,Wednesday
22:35:00,22:40:00,12.55,6,2023-02-01,Wednesday
22:40:00,22:45:00,22.8,14,2023-02-01,Wednesday
22:45:00,22:50:00,18.11,5,2023-02-01,Wednesday
22:50:00,22:55:00,19.8,10,2023-02-01,Wednesday
22:55:00,23:00:00,13.62,7,2023-02-01,Wednesday
23:00:00,23:05:00,11.86,8,2023-02-01,Wednesday
23:05:00,23:10:00,10.67,7,2023-02-01,Wednesday
23:10:00,23:15:00,29.59,19,2023-02-01,Wednesday
23:15:00,23:20:00,18.61,6,2023-02-01,Wednesday
23:20:00,23:25:00,26.92,2,2023-02-01,Wednesday
23:25:00,23:30:00,20.44,14,2023-02-01,Wednesday
23:30:00,23:35:00,19.55,7,2023-02-01,Wednesday
